Team,TO_Pct,Avg_Plays,Avg_Start,Avg_Pts
Seattle Seahawks,8.6,6.1,29.2,2.27
Atlanta Falcons,17.2,6.3,27,1.84
Dallas Cowboys,18,5.8,24.5,1.5
San Diego Chargers,12.4,6.4,23.3,1.78
Minnesota Vikings,9.3,5.9,30.2,1.9
Washington Redskins,11.1,5.8,27,1.95
Detroit Lions,12.3,5.9,25.6,1.93
Chicago Bears,11.2,5.9,29.4,1.88
Cleveland Browns,15.2,6,27.4,1.46
Arizona Cardinals,11.8,5.8,27.8,2.37
Cincinnati Bengals,9.3,5.7,30.1,2.26
New Orleans Saints,10.4,6.2,26.4,2.14
Kansas City Chiefs,7.1,5.5,31.3,1.99
Buffalo Bills,8.6,5.6,26.7,1.95
Tampa Bay Buccaneers,14.8,6,26.2,1.85
Baltimore Ravens,14,6,27.1,1.62
Carolina Panthers,9.6,5.5,30.7,2.4
New England Patriots,5.7,5.7,30.1,2.34
New York Jets,11.6,5.6,29.2,1.95
Green Bay Packers,8.9,5.7,28.1,1.83
Pittsburgh Steelers,13.7,5.5,28.2,2.1
Indianapolis Colts,14.4,5.6,26.8,1.54
Tennessee Titans,16.2,5.2,27,1.5
New York Giants,11.3,5.8,28,2.03
Denver Broncos,15.1,5.5,25.9,1.58
Oakland Raiders,10.3,5.3,29.4,1.79
Houston Texans,9.8,5.7,25.5,1.57
Miami Dolphins,9.6,5.3,26,1.52
San Francisco 49ers,8.2,5.5,23.7,1.28
Jacksonville Jaguars,14,5.4,27.2,1.85
St. Louis Rams,10.2,4.9,27.9,1.29
Philadelphia Eagles,15.3,5.6,26.4,1.62
